IATA	Timezone	Airport Name	City
AAA	Pacific/Tahiti	Anaa Airport	
AAB	Australia/Brisbane	Arrabury Airport	
AAC	Africa/Cairo	El Arish International Airport	El Arish
AAD	Africa/Mogadishu	Adado Airport	Adado
AAE	Africa/Algiers	Rabah Bitat Airport	Annaba
AAF	America/New_York	Apalachicola Regional Airport	Apalachicola
AAG	America/Sao_Paulo	Avelino Vieira Airport	Arapoti
AAH	Europe/Berlin	Aachen-Merzbruck Airport	Aachen
AAI	America/Araguaina	Arraias Airport	Arraias
AAJ	America/Paramaribo	Cayana Airstrip	Awaradam
AAK	Pacific/Tarawa	Aranuka Airport	Buariki
AAL	Europe/Copenhagen	Aalborg Airport	Aalborg
AAM	Africa/Johannesburg	Malamala Airport	Malamala
AAN	Asia/Dubai	Al Ain International Airport	Al Ain
AAO	America/Caracas	Anaco Airport	Anaco
AAP	Asia/Makassar	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda
AAQ	Europe/Moscow	Anapa Vityazevo Airport	Anapa
AAR	Europe/Copenhagen	Aarhus Airport	Aarhus
AAS	Asia/Jayapura	Apalapsili Airport	Apalapsili
AAT	Asia/Urumqi	Altay Air Base	Altay
AAU	Pacific/Apia	Asau Airport	Asau
AAV	Asia/Manila	Allah Valley Airport	Surallah
AAX	America/Sao_Paulo	Romeu Zema Airport	Araxa
AAY	Asia/Aden	Al Ghaidah International Airport	
AAZ	America/Guatemala	Quezaltenango Airport	Quezaltenango
ABA	Asia/Krasnoyarsk	Abakan Airport	Abakan
ABB	Africa/Lagos	Asaba International Airport	Asaba
ABC	Europe/Madrid	Albacete-Los Llanos Airport	Albacete
ABD	Asia/Tehran	Abadan Airport	Abadan
ABE	America/New_York	Lehigh Valley International Airport	Allentown
ABF	Pacific/Tarawa	Abaiang Airport	Abaiang
ABG	Australia/Brisbane	Abingdon Downs Airport	
ABH	Australia/Brisbane	Alpha Airport	Alpha
ABI	America/Chicago	Abilene Regional Airport	Abilene
ABJ	Africa/Abidjan	Port Bouet Airport	Abidjan
ABK	Africa/Addis_Ababa	Kabri Dehar Airport	Kabri Dehar
ABL	America/Anchorage	Ambler Airport	Ambler
ABM	Australia/Brisbane	Northern Peninsula Airport	Bamaga
ABN	America/Paramaribo	Albina Airport	Albina
ABO	Africa/Abidjan	Aboisso Airport	Aboisso
ABP	Pacific/Port_Moresby	Atkamba Airport	Atkamba Mission
ABQ	America/Denver	Albuquerque International Sunport	Albuquerque
ABR	America/Chicago	Aberdeen Regional Airport	Aberdeen
ABS	Africa/Cairo	Abu Simbel Airport	Abu Simbel
ABT	Asia/Riyadh	Al Baha Airport	
ABU	Asia/Makassar	Haliwen Airport	Atambua-Timor Island
ABV	Africa/Lagos	Nnamdi Azikiwe International Airport	Abuja
ABW	Pacific/Port_Moresby	Abau Airport	Abau
ABX	Australia/Sydney	Albury Airport	Albury
ABY	America/New_York	Southwest Georgia Regional Airport	Albany
ABZ	Europe/London	Aberdeen Dyce Airport	Aberdeen
ACA	America/Mexico_City	General Juan N Alvarez International Airport	Acapulco
ACB	America/Detroit	Antrim County Airport	Bellaire
ACC	Africa/Accra	Kotoka International Airport	Accra
ACD	America/Bogota	Alcides Fernandez Airport	Acandi
ACE	Atlantic/Canary	Lanzarote Airport	Lanzarote Island
ACH	Europe/Zurich	St Gallen Altenrhein Airport	Altenrhein
ACI	Europe/Guernsey	Alderney Airport	Saint Anne
ACJ	Asia/Colombo	Anuradhapura Air Force Base	Anuradhapura
ACK	America/New_York	Nantucket Memorial Airport	Nantucket
ACL	America/Bogota	Aguaclara Airport	Aguaclara
ACM	America/Bogota	Arica Airport	Arica
ACN	America/Matamoros	Ciudad Acuna New International Airport	Ciudad Acuna
ACP	Asia/Tehran	Sahand Airport	Maragheh
ACR	America/Bogota	Araracuara Airport	Araracuara
ACS	Asia/Krasnoyarsk	Achinsk Airport	Achinsk
ACT	America/Chicago	Waco Regional Airport	Waco
ACU	America/Panama	Achutupo Airport	Achutupo
ACV	America/Los_Angeles	California Redwood Coast-Humboldt County Airport	Arcata/Eureka
ACX	Asia/Shanghai	Xingyi Airport	Xingyi
ACY	America/New_York	Atlantic City International Airport	Atlantic City
ACZ	Asia/Tehran	Zabol Airport	
ADA	Europe/Istanbul	Adana Airport	Adana
ADB	Europe/Istanbul	Adnan Menderes International Airport	Izmir
ADC	Pacific/Port_Moresby	Andakombe Airport	Andekombe
ADD	Africa/Addis_Ababa	Addis Ababa Bole International Airport	Addis Ababa
ADE	Asia/Aden	Aden International Airport	Aden
ADF	Europe/Istanbul	Adiyaman Airport	Adiyaman
ADG	America/Detroit	Lenawee County Airport	Adrian
ADH	Asia/Yakutsk	Aldan Airport	Aldan
ADI	Africa/Windhoek	Arandis Airport	Arandis
ADJ	Asia/Amman	Amman-Marka International Airport	Amman
ADK	America/Adak	Adak Airport	Adak Island
ADL	Australia/Adelaide	Adelaide International Airport	Adelaide
ADM	America/Chicago	Ardmore Municipal Airport	Ardmore
ADN	America/Bogota	Andes Airport	Andes
ADO	Australia/Adelaide	Andamooka Airport	
ADP	Asia/Colombo	Ampara Airport	Ampara
ADQ	America/Anchorage	Kodiak Airport	Kodiak
ADR	America/New_York	Robert F Swinnie Airport	Andrews
ADS	America/Chicago	Addison Airport	Dallas
ADT	America/Chicago	Ada Regional Airport	Ada
ADU	Asia/Tehran	Ardabil Airport	Ardabil
ADV	Africa/Khartoum	El Daein Airport	El Daein
ADW	America/New_York	Joint Base Andrews	Camp Springs
ADX	Europe/London	RAF Leuchars	St. Andrews
ADY	Africa/Johannesburg	Alldays Airport	Alldays
ADZ	America/Bogota	Gustavo Rojas Pinilla International Airport	San Andres
AEA	Pacific/Tarawa	Abemama Atoll Airport	Abemama Atoll
AEB	Asia/Shanghai	Baise Youjiang Airport	Baise
AEE	Africa/Juba	Adareil Airport	
AEG	Asia/Jakarta	Aek Godang Airport	Padang Sidempuan-Sumatra Island
AEH	Africa/Ndjamena	Abeche Airport	
AEK	Pacific/Port_Moresby	Aseki Airport	Aseki
AEL	America/Chicago	Albert Lea Municipal Airport	Albert Lea
AEM	Asia/Vladivostok	Amgu Airport	Amgu
AEO	Africa/Nouakchott	Aioun el Atrouss Airport	Aioun El Atrouss
AEP	America/Argentina/Buenos_Aires	Jorge Newbery Airpark	Buenos Aires
